Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,Average_Performer,Animation
2012,Inazuma Eleven Go vs. Danball Senki W,14.228,4,Average_Performer,Science Fiction
1995,The Cure,14.228,235,Blockbuster,Drama
1995,The Cure,14.228,235,Blockbuster,Family
2014,Rise of the Legend,14.226,125,Average_Performer,Action
2014,Rise of the Legend,14.226,125,Average_Performer,Drama
2013,The Immigrant,14.224,669,Average_Performer,Drama
2013,The Immigrant,14.224,669,Average_Performer,Romance
2018,The Marine 6: Close Quarters,14.222,123,Well_Received,Action
2022,Moon Crash,14.221,2,Low_Rated,Science Fiction
2013,Miss Violence,14.221,324,Well_Received,Drama
2016,Incarnate,14.22,460,Low_Rated,Horror
2016,Incarnate,14.22,460,Low_Rated,Thriller
1962,Sanjuro,14.22,408,Blockbuster,Drama
1962,Sanjuro,14.22,408,Blockbuster,Action
1962,Sanjuro,14.22,408,Blockbuster,Comedy
1997,Air Bud,14.219,359,Low_Rated,Comedy
1997,Air Bud,14.219,359,Low_Rated,Family
2021,Breaking Boundaries: The Science of Our Planet,14.218,34,Blockbuster,Documentary
2021,"My Brother, My Sister",14.218,77,Well_Received,Drama
2013,Open Grave,14.218,571,Average_Performer,Horror
2013,Open Grave,14.218,571,Average_Performer,Thriller
2013,Open Grave,14.218,571,Average_Performer,Mystery
2012,Gone,14.218,961,Average_Performer,Thriller
2005,Kicking & Screaming,14.217,495,Low_Rated,Family
2005,Kicking & Screaming,14.217,495,Low_Rated,Comedy
2016,Born in China,14.215,136,Blockbuster,Documentary
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Fantasy
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Animation
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Drama
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Comedy
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Science Fiction
2010,Donkey's Christmas Shrektacular,14.215,128,Low_Rated,Family
1973,Ivan Vasilyevich Changes His Profession,14.215,244,Blockbuster,Comedy
1973,Ivan Vasilyevich Changes His Profession,14.215,244,Blockbuster,Science Fiction
1968,Inspector Clouseau,14.213,49,Low_Rated,Comedy
1968,Inspector Clouseau,14.213,49,Low_Rated,Crime
1976,The Cassandra Crossing,14.211,143,Average_Performer,Action
1976,The Cassandra Crossing,14.211,143,Average_Performer,Thriller
1982,The Beastmaster,14.21,285,Average_Performer,Fantasy
1982,The Beastmaster,14.21,285,Average_Performer,Adventure
1982,The Beastmaster,14.21,285,Average_Performer,Action
1966,One Million Years B.C.,14.208,145,Average_Performer,Adventure
1966,One Million Years B.C.,14.208,145,Average_Performer,Fantasy
2007,The Wailer 2,14.206,24,Well_Received,Horror
2010,Last Night,14.206,625,Average_Performer,Drama
2010,Last Night,14.206,625,Average_Performer,Romance
1990,Marked for Death,14.206,375,Average_Performer,Action
1990,Marked for Death,14.206,375,Average_Performer,Crime
2004,Anatomy of Hell,14.206,83,Low_Rated,Drama
1996,Marvin's Room,14.205,487,Well_Received,Drama
1983,"Merry Christmas, Mr. Lawrence",14.203,313,Blockbuster,Drama
1983,"Merry Christmas, Mr. Lawrence",14.203,313,Blockbuster,History
1983,"Merry Christmas, Mr. Lawrence",14.203,313,Blockbuster,War
2016,The Silence of the Sky,14.201,59,Average_Performer,Drama
2016,The Silence of the Sky,14.201,59,Average_Performer,Thriller
1965,The Collector,14.201,140,Blockbuster,Drama
1965,The Collector,14.201,140,Blockbuster,Thriller
1979,1941,14.201,444,Low_Rated,Action
1979,1941,14.201,444,Low_Rated,Comedy
1979,1941,14.201,444,Low_Rated,War
1956,The Killing,14.201,1094,Blockbuster,Crime
1956,The Killing,14.201,1094,Blockbuster,Drama
1956,The Killing,14.201,1094,Blockbuster,Thriller
1997,The Land Before Time V: The Mysterious Island,14.2,265,Average_Performer,Animation
1997,The Land Before Time V: The Mysterious Island,14.2,265,Average_Performer,Family
1997,The Land Before Time V: The Mysterious Island,14.2,265,Average_Performer,Adventure
2002,Friday After Next,14.198,305,Average_Performer,Comedy
1983,Danton,14.197,120,Well_Received,Drama
1983,Danton,14.197,120,Well_Received,History
2020,Isi & Ossi,14.196,740,Well_Received,Romance
2020,Isi & Ossi,14.196,740,Well_Received,Comedy
1985,Return to Oz,14.196,628,Well_Received,Adventure
1985,Return to Oz,14.196,628,Well_Received,Family
1985,Return to Oz,14.196,628,Well_Received,Fantasy
2015,The Letters,14.194,22,Low_Rated,Drama
1940,The Grapes of Wrath,14.192,700,Blockbuster,Drama
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,Blockbuster,Animation
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,Blockbuster,Comedy
2017,Haikyuu!! Movie 4: Battle of Concepts,14.19,13,Blockbuster,Drama
2003,Duplex,14.19,1407,Average_Performer,Comedy
2007,Om Shanti Om,14.189,243,Well_Received,Comedy
2007,Om Shanti Om,14.189,243,Well_Received,Drama
2007,Om Shanti Om,14.189,243,Well_Received,Romance
2021,The Yin Yang Master,14.188,41,Well_Received,Action
2021,The Yin Yang Master,14.188,41,Well_Received,Adventure
2021,The Yin Yang Master,14.188,41,Well_Received,Drama
2021,The Yin Yang Master,14.188,41,Well_Received,Fantasy
2021,The Yin Yang Master,14.188,41,Well_Received,Romance
2002,American Psycho II: All American Girl,14.187,273,Low_Rated,Horror
2002,American Psycho II: All American Girl,14.187,273,Low_Rated,Thriller
1952,Ikiru,14.186,760,Blockbuster,Drama
2011,The Guard,14.185,881,Well_Received,Action
2011,The Guard,14.185,881,Well_Received,Comedy
2011,The Guard,14.185,881,Well_Received,Thriller
2011,The Guard,14.185,881,Well_Received,Crime
2020,Persian Lessons,14.184,175,Blockbuster,War
2020,Persian Lessons,14.184,175,Blockbuster,Drama
2018,Rolling to You,14.184,645,Well_Received,Comedy
2018,Rolling to You,14.184,645,Well_Received,Romance
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,Well_Received,Animation
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,Well_Received,Action
2006,Pokémon: The Mastermind of Mirage Pokémon,14.184,42,Well_Received,Adventure
2020,Buffaloed,14.182,162,Well_Received,Comedy
2020,Buffaloed,14.182,162,Well_Received,Drama
2020,Buffaloed,14.182,162,Well_Received,Romance
1998,Affliction,14.18,188,Average_Performer,Drama
1998,Affliction,14.18,188,Average_Performer,Mystery
1998,Affliction,14.18,188,Average_Performer,Thriller
2017,Vixen: The Movie,14.176,87,Well_Received,Action
2017,Vixen: The Movie,14.176,87,Well_Received,Animation
2004,Chasing Liberty,14.176,516,Average_Performer,Comedy
2004,Chasing Liberty,14.176,516,Average_Performer,Romance
1965,Cat Ballou,14.175,177,Average_Performer,Comedy
1965,Cat Ballou,14.175,177,Average_Performer,Romance
1965,Cat Ballou,14.175,177,Average_Performer,Western
2015,Baskin,14.174,215,Low_Rated,Fantasy
2015,Baskin,14.174,215,Low_Rated,Horror
2015,Baskin,14.174,215,Low_Rated,Science Fiction
1987,Anne of Green Gables: The Sequel,14.173,93,Blockbuster,Drama
1987,Anne of Green Gables: The Sequel,14.173,93,Blockbuster,Romance
1987,Anne of Green Gables: The Sequel,14.173,93,Blockbuster,Family
2007,The Last Mimzy,14.169,375,Average_Performer,Drama
2007,The Last Mimzy,14.169,375,Average_Performer,Science Fiction
2007,The Last Mimzy,14.169,375,Average_Performer,Adventure
2017,A Mermaid's Tale,14.168,37,Low_Rated,Family
1948,Melody Time,14.168,202,Average_Performer,Music
1948,Melody Time,14.168,202,Average_Performer,Family
1948,Melody Time,14.168,202,Average_Performer,Animation
1948,Melody Time,14.168,202,Average_Performer,Comedy
2001,Someone Like You...,14.168,297,Low_Rated,Comedy
2001,Someone Like You...,14.168,297,Low_Rated,Romance
1962,Knife in the Water,14.168,283,Blockbuster,Drama
1969,The Wild Bunch,14.168,859,Blockbuster,Adventure
1969,The Wild Bunch,14.168,859,Blockbuster,Western
2017,Wakefield,14.167,325,Average_Performer,Drama
1994,Raw Justice,14.167,21,Low_Rated,Thriller
1994,Raw Justice,14.167,21,Low_Rated,Action
1993,Untamed Heart,14.167,161,Well_Received,Comedy
1993,Untamed Heart,14.167,161,Well_Received,Drama
1993,Untamed Heart,14.167,161,Well_Received,Romance
2002,The Emperor's Club,14.167,295,Well_Received,Drama
2002,The Emperor's Club,14.167,295,Well_Received,Romance
2006,Pulse,14.167,393,Low_Rated,Horror
2006,Pulse,14.167,393,Low_Rated,Thriller
2001,Don't Say a Word,14.166,703,Average_Performer,Thriller
2012,Nameless Gangster,14.163,117,Well_Received,Crime
2012,Nameless Gangster,14.163,117,Well_Received,Thriller
2020,Meteor Moon,14.162,9,Low_Rated,Adventure
2020,Meteor Moon,14.162,9,Low_Rated,Science Fiction
